symbol,tf,model,variant_k,side,entry_time_ms,entry_time,entry_price,exit_time_ms,exit_time,exit_reason,pnl_pct,mae_pct,time_to_close_min,win
ADAUSDT,15m,Transformer,12,short,1727998199999,2024-10-03 23:29,0.3453,1728016319999,2024-10-04 04:31,SL,-0.9901,-1.00344,302,False
ADAUSDT,15m,CNN,13,long,1727901899999,2024-10-02 20:44,0.3432,1727941919999,2024-10-03 07:51,SL,0.5,-0.96154,667,True
ADAUSDT,15m,CNN,13,short,1728002699999,2024-10-04 00:44,0.3438,1728005219999,2024-10-04 01:26,SL,-0.9901,-1.03627,42,False
ADAUSDT,15m,LSTM,13,long,1727901899999,2024-10-02 20:44,0.3432,1727941919999,2024-10-03 07:51,SL,0.5,-0.96154,667,True
ADAUSDT,15m,LSTM,13,short,1728002699999,2024-10-04 00:44,0.3438,1728005219999,2024-10-04 01:26,SL,-0.9901,-1.03627,42,False
ADAUSDT,15m,DQN,13,long,1727901899999,2024-10-02 20:44,0.3432,1727941919999,2024-10-03 07:51,SL,0.5,-0.96154,667,True
ADAUSDT,15m,DQN,13,short,1728002699999,2024-10-04 00:44,0.3438,1728005219999,2024-10-04 01:26,SL,-0.9901,-1.03627,42,False
ADAUSDT,15m,PPO,13,long,1727901899999,2024-10-02 20:44,0.3432,1727941919999,2024-10-03 07:51,SL,0.5,-0.96154,667,True
ADAUSDT,15m,PPO,13,short,1728002699999,2024-10-04 00:44,0.3438,1728005219999,2024-10-04 01:26,SL,-0.9901,-1.03627,42,False
ADAUSDT,15m,QLearning,13,long,1727901899999,2024-10-02 20:44,0.3432,1727941919999,2024-10-03 07:51,SL,0.5,-0.96154,667,True
ADAUSDT,15m,QLearning,13,short,1728002699999,2024-10-04 00:44,0.3438,1728005219999,2024-10-04 01:26,SL,-0.9901,-1.03627,42,False
ADAUSDT,15m,Transformer,13,long,1727901899999,2024-10-02 20:44,0.3432,1727941919999,2024-10-03 07:51,SL,0.5,-0.96154,667,True
ADAUSDT,15m,Transformer,13,short,1728002699999,2024-10-04 00:44,0.3438,1728005219999,2024-10-04 01:26,SL,-0.9901,-1.03627,42,False
ADAUSDT,15m,CNN,14,long,1727947799999,2024-10-03 09:29,0.3377,1727957159999,2024-10-03 12:05,SL,0.5,-0.17767,156,True
ADAUSDT,15m,CNN,14,short,1728017099999,2024-10-04 04:44,0.3476,1728029939999,2024-10-04 08:18,SL,-0.9901,-1.02506,214,False
ADAUSDT,15m,LSTM,14,long,1727947799999,2024-10-03 09:29,0.3377,1727957159999,2024-10-03 12:05,SL,0.5,-0.17767,156,True
