model,timeframe,target,variant,features,seq_len,prob_threshold,trades,wins,losses,winrate_%,final_deposit,status
DQN_30m_short_V14.pt,30m,short,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,58,0,58,0.0,79.26,✅ ok
DQN_30m_short_V15.pt,30m,short,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,43,0,43,0.0,84.17,✅ ok
DQN_30m_short_V2.pt,30m,short,2,macd|ema_20,32,0.6,92,0,92,0.0,69.16,✅ ok
DQN_30m_short_V3.pt,30m,short,3,macd|rsi_14,32,0.6,298,0,298,0.0,30.29,✅ ok
DQN_30m_short_V4.pt,30m,short,4,macd|bb_upper|bb_middle|bb_lower,32,0.6,4,0,4,0.0,98.41,✅ ok
DQN_30m_short_V5.pt,30m,short,5,macd|ema_20|rsi_14,32,0.6,363,0,363,0.0,23.34,✅ ok
DQN_30m_short_V6.pt,30m,short,6,macd|ema_20|bb_upper|bb_middle|bb_lower,32,0.6,41,0,41,0.0,84.85,✅ ok
DQN_30m_short_V7.pt,30m,short,7,macd|supertrend|ema_20,32,0.6,84,0,84,0.0,71.41,✅ ok
DQN_30m_short_V8.pt,30m,short,8,macd|supertrend|rsi_14,32,0.6,480,0,480,0.0,14.6,✅ ok
DQN_30m_short_V9.pt,30m,short,9,macd|supertrend|ema_20|rsi_14,32,0.6,194,0,194,0.0,45.95,✅ ok
DQN_4h_long_V1.pt,4h,long,1,macd|supertrend,32,0.6,103,88,15,85.44,103.83,✅ ok
DQN_4h_long_V10.pt,4h,long,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,100,82,18,82.0,103.61,✅ ok
DQN_4h_long_V11.pt,4h,long,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,136,117,19,86.03,103.4,✅ ok
DQN_4h_long_V12.pt,4h,long,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,124,98,26,79.03,98.35,✅ ok
